Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
8383,23,May-2026,Rajasthan,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,5 and more,4,"Others (Incl. Unemployed, students, etc.)",Improved,Remain The Same,Remained The Same,Will Worsen,Increased,Will Decrease,Increased,Will Increase,Increased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,11-<12%,,No
8384,23,May-2026,Rajasthan,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,3,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,5-<6%,,10-<11%,,Yes
8385,23,May-2026,Rajasthan,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,12-<13%,,Yes
8386,23,May-2026,Rajasthan,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Daily Worker,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,15-<16%,,15-<16%,,No
8387,23,May-2026,Rajasthan,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Remained The Same,Remain The Same,Worsened,Will Worsen,Increased,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,5-<6%,,9-<10%,,No
8388,23,May-2026,Rajasthan,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,>=16%,25,6-<7%,,Yes
8389,23,May-2026,Rajasthan,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,1,Daily Worker,Worsened,Will Worsen,Worsened,Will Worsen,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,>=16%,30,>=16%,30,Yes
8390,23,May-2026,Rajasthan,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,1,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Less Than Current Rate,5-<6%,,4-<5%,,Yes
8391,23,May-2026,Rajasthan,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Post Graduate,3 or 4,1,Self Employed,Worsened,Will Improve,Improved,Remain The Same,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,12-<13%,,No
8392,23,May-2026,Rajasthan,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,2,Salaried Employee,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,10-<11%,,Yes
8393,23,May-2026,Rajasthan,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Post Graduate,5 and more,2,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,15-<16%,,No
8394,23,May-2026,Rajasthan,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,5 and more,1,Daily Worker,Improved,Will Worsen,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased Less Than Last Year,,>=16%,50,<1%,,Yes
2,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,1,Daily Worker,Worsened,Will Worsen,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,9-<10%,,9-<10%,,Yes
12,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Self Employed,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Decreased,Will Increase,Decreased,Will Decrease,Decreased,Will Increase,Increased,Will Decrease,Price Increased More Than Last Year,,3-<4%,,<1%,,Yes
59,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Improve,Remained The Same,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,7-<8%,,7-<8%,,Yes
60,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Improve,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,6-<7%,,9-<10%,,Yes
61,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Improve,Worsened,Will Improve,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,9-<10%,,9-<10%,,Yes
122,23,May-2026,Sikkim,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,5-<6%,,No
192,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,3 or 4,4,Daily Worker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Decrease,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,Yes
333,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,4,Salaried Employee,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,30,No
361,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,30,Yes
362,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,5 and more,2,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase Less Than Current Rate,<1%,,<1%,,Yes
903,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,5 and more,6,Salaried Employee,Worsened,Will Worsen,Remained The Same,Remain The Same,Decreased,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,Yes
904,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,1,Daily Worker,Remained The Same,Will Improve,Improved,Will Improve,Decreased,Will Decrease,Decreased,Remain The Same,Decreased,Remain The Same,Decreased,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,Yes
944,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Worsened,Remain The Same,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,1-<2%,,2-<3%,,No
1039,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,4-<5%,,3-<4%,,No
1781,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,5 and more,3,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,7-<8%,,Yes
1782,23,May-2026,Sikkim,40 to 59 years,Male,Less than Rs. 5 thousand,Below 5th Std,5 and more,3,Daily Worker,Worsened,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,10-<11%,,10-<11%,,Yes
1783,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,1,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,40,>=16%,50,No
1784,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,5 and more,2,Salaried Employee,Remained The Same,Will Worsen,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
1785,23,May-2026,Sikkim,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Worsen,Worsened,Will Improve,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,9-<10%,,No
1786,23,May-2026,Sikkim,40 to 59 years,Male,Less than Rs. 5 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Remained The Same,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Decreased,Will Decrease,Remained The Same,Will Decrease,Decreased,Will Decrease,Decreased,Will Decrease,,,<1%,,<1%,,Yes
1787,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Worsen,Worsened,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,No
1788,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,11-<12%,,5-<6%,,No
1913,23,May-2026,Sikkim,30 to 39 years,Female,Less than Rs. 5 thousand,Below 5th Std,3 or 4,1,Self Employed,Remained The Same,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,1-<2%,,2-<3%,,Yes
1914,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,5 and more,3,Salaried Employee,Remained The Same,Will Worsen,Remained The Same,Will Worsen,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,25,>=16%,30,Yes
1915,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Worsen,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,25,>=16%,35,No
1916,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,3-<4%,,Yes
2274,23,May-2026,Sikkim,21 to 29 years,Female,Less than Rs. 5 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Improved,Will Worsen,Worsened,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,12-<13%,,No
2275,23,May-2026,Sikkim,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Improved,Will Improve,Worsened,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Less Than Current Rate,10-<11%,,2-<3%,,No
2276,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Salaried Employee,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase Less Than Current Rate,<1%,,<1%,,No
2277,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,12th Std,3 or 4,1,Self Employed,Worsened,Remain The Same,Worsened,Remain The Same,Decreased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,14-<15%,,15-<16%,,No
2278,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Worsen,Worsened,Will Worsen,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,15-<16%,,15-<16%,,Yes
2279,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,1 or 2,1,Daily Worker,Remained The Same,Will Improve,Worsened,Will Worsen,Remained The Same,Will Increase,Decreased,Remain The Same,Increased,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
2280,23,May-2026,Sikkim,30 to 39 years,Male,Rs 1 lakh and above,12th Std,3 or 4,2,Salaried Employee,Improved,Will Improve,Worsened,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,Yes
2552,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
2757,23,May-2026,Sikkim,40 to 59 years,Male,Rs 1 lakh and above,Graduate,3 or 4,1,Salaried Employee,Improved,Will Improve,Improved,Will Worsen,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,Yes
2758,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,4,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase More Than Current Rate,1-<2%,,2-<3%,,Yes
2759,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,Yes
2760,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,5 and more,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,4-<5%,,2-<3%,,No
2761,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,Self Employed,Worsened,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Increased,Will Decrease,Price Increased Less Than Last Year,,9-<10%,,<1%,,No
2762,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,10-<11%,,10-<11%,,No
2763,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,8-<9%,,10-<11%,,No
2764,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,5 and more,1,Self Employed,Worsened,Remain The Same,Worsened,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,8-<9%,,5-<6%,,No
2837,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,Self Employed,Worsened,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
2838,23,May-2026,Sikkim,40 to 59 years,Male,Less than Rs. 5 thousand,12th Std,5 and more,1,Self Employed,Worsened,Remain The Same,Worsened,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,2-<3%,,2-<3%,,No
3185,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,5th Std - Below 10th Std,5 and more,2,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
3186,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,3 or 4,1,Self Employed,Worsened,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Less Than Current Rate,4-<5%,,1-<2%,,No
3187,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,5 and more,1,Self Employed,Remained The Same,Remain The Same,Improved,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,>=16%,20,No
3188,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,5 and more,2,Homemaker,Remained The Same,Will Improve,Remained The Same,Remain The Same,Decreased,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,50,>=16%,55,No
3189,23,May-2026,Sikkim,60 years and above,Male,Less than Rs. 5 thousand,Below 5th Std,1 or 2,1,Retired Person,Remained The Same,Remain The Same,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,7-<8%,,No
3709,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,50,>=16%,55,No
3823,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Decrease,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
3824,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,9-<10%,,Yes
3825,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Below 5th Std,3 or 4,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Decreased,Remain The Same,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,1-<2%,,1-<2%,,Yes
3826,23,May-2026,Sikkim,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Improved,Remain The Same,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase More Than Current Rate,4-<5%,,7-<8%,,Yes
3827,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Salaried Employee,Improved,Will Improve,Improved,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,8-<9%,,Yes
4380,23,May-2026,Sikkim,40 to 59 years,Male,Less than Rs. 5 thousand,Graduate,3 or 4,1,Self Employed,Worsened,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,15-<16%,,15-<16%,,No
5189,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Worsened,Will Improve,Worsened,Will Improve,Decreased,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
